,弹幕内容
681,忠义无双
682,曹老板 久等了
683,诸葛村夫
684,非常喜欢这个片尾曲，太有感触了。
685,俺也一样
686,大弟 大弟  大弟
687,细节决定成败，不愧是经典中的经典
688,俺也一样
689,大弟
690,换成曹老板 直接起飞
691,丞相千古
692,俺也一样
693,俺也一样
694,哭哭子
695,俺也一样
696,卧槽
697,历史上的土怪
698,我角哥还是有排面
699,俺也一样
700,好词
701,俺也一样
702,俺有钱
703,俺也一样
704,我，贵人，打钱
705,三哥
706,火烧连营
707,怎么长得这么像晁盖
708,后浪
709,重制版什么时候出啊
710,黄巾军没有拉拢士族
711,最好甲方
712,俺也一样
713,俺也一样
714,雷公助我
715,心疼百姓啊
716,这破站牛逼
717,哈哈
718,俺也一样
719,俺也一样
720,俺也一样
721,俺也一样
722,完了，军阀
723,2333
724,俺也一样！
725,快去叫城管
726,统统带走
727,俺也一样
728,哈哈
729,俺也一样
730,拜见丞相
731,二爷是男篮队员出身，个头没的说
732,权权！
733,小破站NB！！！
734,俺也一样！
735,董贼
736,全体起立
737,俺也一样
738,牛批
739,买草鞋了，三钱一双，十钱三双
740,俺也一样
741,合影
742,曹老板好
743,把磨盘搬开，把肉拿出来，把磨盘带上
744,就是豆粉就是豆粉就是豆粉
745,爷的青春回来了！
746,举高高
747,俺也一样
748,俺也一样
749,俺也一样
750,1.5倍速好评
751,俺也一样 是个富豪啊
752,吃瓜
753,通缉犯
754,小二没有地位，要是像前面说的让关羽自己分估计要被打
755,这清晰度
756,俺就是平原的。县里还能了个三国文化广场
757,白嫖
758,一个杀猪的 我服了
759,？
760,关羽傲上而不辱下，张飞敬君子而不恤小人
761,草感谢高能君
762,真就这么多剑履上殿的
763,确认眼神？
764,俺也一样
765,皮鞋！
766,大刘关二张三赵四
767,终于来了，之前还是小破站的直播间轮播
768,俺 也 一 样
769,哎!你懂啥萨比
770,想起了士郎
771,俺也一样
772,地摊经济的繁荣
773,这版的op太完美了
774,二爷好像在故乡杀了人才背井离乡
775, 哇，这是长知识，剑及履及原来是这么个意思
776,格局
777,格局啊！！！
778,除了曹老板，皇叔跟过的大哥都被克死了
779,有钱人啊
780,俺也一样
781,两位两位至尊大战到边荒，混沌气弥漫，大道都磨灭了
782,哈哈哈哈哈哈哈哈哈
783,要来了（狂喜）
784,表演开了啦
785,我董卓可平之反！！
786,张飞：哼╭(╯^╰)╮
787,那是我家！
788,老豆腐都是刘备发明的
789,我有一个朋友
790,董卓“轮到我出场平乱了？”
791,天地日月壮我情怀这句话写的真好
792,刘氏控股有限公司 宣布成立
793,别说现实，人的力气的确越来越小，我婆婆可以拿50斤的东西
794,俺也一样
795,俺也一样
796,大汉环首刀
797,这个导演很鸡贼，都不拍正脸
798,武力那么高到最后怎么这么弟弟
799,公孙瓒除了对刘备不错，就是小董卓
800,后面群众演的好
801,要十斤精肉，细细切作臊子
802,辅助打辅助
803,他甚至举了起来
804,俺也一样俺也一样
805,卖官鬻爵  沽名钓誉  哦 这是回到了汉字听写大会啊
806,俺也一样。。。。。。。。
807,俺也一样
808,俺也一样
809,俺也一样
810,我的天呐！看看！！
811,来了！！
812,这不哇塞吗有三国看了
813,暗示投币
814,哈哈哈，两个小兵被一只手推飞起来。
815,俺也一样
816,我哭了，看到弹幕又笑了
817,新手村爆史诗
818,打工不可能打工的拉，我要创业当老板
819,向右看齐！！！
820,牛逼
