,弹幕内容
368,哈哈哈哈哈哈哈嘎
369,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
370,瘟神泽世
371,鹅鹅鹅鹅鹅鹅鹅鹅鹅
372,鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
373,我来了
374,哈哈哈哈哈哈啊哈哈哈
375,哈哈哈哈哈哈哈哈哈哈哈哈
376,你老实巴交？？？？
377,我差点笑死
378,笑死我了
379,哈哈哈哈哈
380,越言越语 超越妹妹来收钱
381,感觉有被爽到
382,哈哈哈哈哈哈哈哈哈
383,老实巴交
384,我要笑死我了
385,hhhhhhh
386,一方有难，八方吃瓜
387,哈哈哈哈哈哈哈哈
388,超越的哭声才是灵魂哈哈哈哈哈
389,请把老干妈冻结的资产还给人家
390,哈哈哈哈哈哈哈哈哈哈
391,发出了鹅叫
392,哈哈哈哈哈哈
393,哈哈哈哈哈哈哈
394,这波控评不错啊，成功洗白
395,哈哈哈哈哈啊哈哈哈哈哈
396,哈哈哈哈
397,怕是对老实有什么误会
398,猪叫声？内涵wy？
399,来自网易的贺电
400,哈哈哈哈哈哈哈哈哈
401,企鹅怎么笑的：“鹅鹅鹅鹅鹅鹅鹅鹅鹅”！
402,哈哈哈哈哈哈哈哈
403,？？？？？？？？？？？？？？？
404,老实巴交个屁
405,哈哈哈哈哈哈哈哈哈哈哈哼哼哼哼唧唧唧
406,？？？
407,真的是杨超越吗
408,火钳刘明
409,这个笑疯的Sunnee是我本人
410,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
411,哈哈哈
412,我又回来了，忍不住呀，哈哈哈
413,？？？
414,笑死，企鹅肉
415,哈哈哈哈哈哈哈哈哈哈哈
416,正道的光
417,哈哈哈！
418,有点数行吗？还老实巴交
419,哈哈哈哈哈
420,哈哈哈哈哈哈哈哈
421,哈哈哈哈哈哈哈哈
422,钉钉同款公关
423,老实巴交？不至于不至于
424,钮祜禄鹅还老实巴交哈哈哈
425,老实巴交？憋洗啦
426,哈哈哈哈哈哈哈哈哈哈哈
427,鹅还欠着我超越妹妹的辣椒酱呢
428,老实巴交?
429,就您？
430,你老实巴交？？
431,啊这
432,正道的光！
433,wodetiann我的天啊我快笑死在这里了a
434,投个币安慰一下，笑死鹅了
435,今晚的饭tjtb
436,不，是鹅叫(dog)
437,重新定义老实巴交
438,哈哈哈哈哈哈哈
439,哈哈哈哈哈哈哈哈哈
440,可把我笑岔气了
441,哈哈哈哈哈哈哈
442,哈哈哈哈哈
443,哈哈哈哈哈哈哈哈卧槽
444,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
445,正道的光！
446,哈哈哈哈哈哈哈哈哈哈哈
447,真没眼看了
448,还好还好哈
449,你配吗？
450,给超越妹妹结文案费没？？
451,我要笑死掉了
452,哈哈哈哈哈哈哈哈哈哈哈
453,老实巴交？
454,正道的光！
455,鹅鹅鹅哈哈哈哈哈哈
456,今晚的饭香了
457,哈哈哈哈哈哈哈哈哈
458,正道的瓜
459,hhhhhhhhhh
460,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
461,赶紧倒闭吧
462,哈哈哈哈哈哈哈哈哈
463,战术叉腰
464,哈哈哈哈哈哈哈哈哈哈哈哈
465,泪目
466,纠正一下。。是鹅叫声……哈哈哈哈
467,鹅鹅鹅鹅鹅鹅鹅…
468,企鹅头套好评
469,鹅鹅鹅鹅鹅鹅鹅鹅
470,哈哈哈哈哈
471,哈哈哈哈哈哈哈
472,老企鹅可还行
473,哦哟哟切克闹
474,哈哈哈哈哈哈
475,身为QQ飞车玩家   我笑死了
476,给超越妹妹打钱
477,老实？
478,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
479,朱灵儿来合影留念了
480,开始吟唱
481,好活。哈哈哈哈哈
482,哈哈哈哈哈哈
483,哈哈啊哈啊哈哈哈哈哈
484,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈有
485,我，杨超越，打钱
486,哈哈哈哈哈哈哈哈
487,鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
488,哈哈哈哈哈哈哈哈
489,你南山必胜客也有今天
490,笑到头掉
491,哈哈哈哈哈哈哈哈
492,哈哈哈哈哈哈哈哈哈笑死我了
493,已经第三遍啦  笑死我啦
494,好活
495,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
496,哈哈哈哈笑死我了工具人杨超越
497,围观来迟了
498,哈哈哈哈哈哈哈哈哈哈哈
499,腾讯老实巴交，世纪笑话
